# lat	lon	dist
31.436317	-115.317796	6.075803e+01
31.436317	-115.307152	6.008550e+01
31.436317	-115.296508	5.942242e+01
31.436317	-115.285864	5.876912e+01
31.436317	-115.275219	5.812593e+01
31.436317	-115.264575	5.749319e+01
31.436317	-115.253931	5.687123e+01
31.436317	-115.243287	5.626043e+01
31.436317	-115.232643	5.566115e+01
31.436317	-115.221998	5.507377e+01
31.436317	-115.211354	5.449867e+01
31.436317	-115.200710	5.393624e+01
31.436317	-115.190066	5.338688e+01
31.436317	-115.179421	5.285100e+01
31.436317	-115.168777	5.232902e+01
31.436317	-115.158133	5.182136e+01
31.436317	-115.147489	5.132843e+01
31.436317	-115.136845	5.085068e+01
31.436317	-115.126200	5.038852e+01
31.436317	-115.115556	4.994240e+01
31.436317	-115.104912	4.951275e+01
31.436317	-115.094268	4.909999e+01
31.436317	-115.083624	4.870457e+01
31.436317	-115.072979	4.832690e+01
31.436317	-115.062335	4.796740e+01
31.436317	-115.051691	4.762648e+01
31.436317	-115.041047	4.730456e+01
31.436317	-115.030402	4.700201e+01
31.436317	-115.019758	4.671921e+01
31.436317	-115.009114	4.645653e+01
31.436317	-114.998470	4.621431e+01
31.436317	-114.987826	4.599286e+01
31.436317	-114.977181	4.579250e+01
31.436317	-114.966537	4.561350e+01
31.436317	-114.955893	4.545611e+01
31.445316	-115.669056	8.314502e+01
31.445316	-115.658411	8.248849e+01
31.445316	-115.647767	8.182084e+01
31.445316	-115.637123	8.115029e+01
31.445316	-115.626479	8.048674e+01
31.445316	-115.615834	7.983035e+01
31.445316	-115.605190	7.918131e+01
31.445316	-115.594546	7.853979e+01
31.445316	-115.583902	7.790599e+01
31.445316	-115.573258	7.725646e+01
31.445316	-115.562613	7.658674e+01
31.445316	-115.551969	7.591626e+01
31.445316	-115.541325	7.525326e+01
31.445316	-115.530681	7.459795e+01
31.445316	-115.520036	7.392820e+01
31.445316	-115.509392	7.325738e+01
31.445316	-115.498748	7.259432e+01
31.445316	-115.488104	7.193923e+01
31.445316	-115.477460	7.116719e+01
31.445316	-115.466815	7.037814e+01
31.445316	-115.456171	6.959471e+01
31.445316	-115.445527	6.881710e+01
31.445316	-115.434883	6.804551e+01
31.445316	-115.424239	6.728015e+01
31.445316	-115.413594	6.652122e+01
31.445316	-115.402950	6.576895e+01
31.445316	-115.392306	6.502358e+01
31.445316	-115.381662	6.428534e+01
31.445316	-115.371017	6.355449e+01
31.445316	-115.360373	6.283127e+01
31.445316	-115.349729	6.211596e+01
31.445316	-115.339085	6.140883e+01
31.445316	-115.328441	6.071016e+01
31.445316	-115.317796	6.002027e+01
31.445316	-115.307152	5.933944e+01
31.445316	-115.296508	5.866800e+01
31.445316	-115.285864	5.800627e+01
31.445316	-115.275219	5.735458e+01
31.445316	-115.264575	5.671329e+01
31.445316	-115.253931	5.608275e+01
31.445316	-115.243287	5.546333e+01
31.445316	-115.232643	5.485540e+01
31.445316	-115.221998	5.425936e+01
31.445316	-115.211354	5.367558e+01
31.445316	-115.200710	5.310449e+01
31.445316	-115.190066	5.254649e+01
31.445316	-115.179421	5.200201e+01
31.445316	-115.168777	5.147147e+01
31.445316	-115.158133	5.095532e+01
31.445316	-115.147489	5.045398e+01
31.445316	-115.136845	4.996791e+01
31.445316	-115.126200	4.949756e+01
31.445316	-115.115556	4.904338e+01
31.445316	-115.104912	4.860582e+01
31.445316	-115.094268	4.818534e+01
31.445316	-115.083624	4.778238e+01
31.445316	-115.072979	4.739740e+01
31.445316	-115.062335	4.703083e+01
31.445316	-115.051691	4.668311e+01
31.445316	-115.041047	4.635467e+01
31.445316	-115.030402	4.604591e+01
31.445316	-115.019758	4.575723e+01
31.445316	-115.009114	4.548902e+01
31.445316	-114.998470	4.524164e+01
31.445316	-114.987826	4.501544e+01
31.445316	-114.977181	4.481072e+01
31.445316	-114.966537	4.462780e+01
31.445316	-114.955893	4.446694e+01
31.445316	-114.945249	4.432837e+01
31.445316	-114.934604	4.421232e+01
31.454314	-115.700988	8.438667e+01
31.454314	-115.690344	8.373106e+01
31.454314	-115.679700	8.306056e+01
31.454314	-115.669056	8.239114e+01
31.454314	-115.658411	8.172862e+01
31.454314	-115.647767	8.107317e+01
31.454314	-115.637123	8.040264e+01
31.454314	-115.626479	7.973292e+01
31.454314	-115.615834	7.907034e+01
31.454314	-115.605190	7.841508e+01
31.454314	-115.594546	7.776730e+01
31.454314	-115.583902	7.712722e+01
31.454314	-115.573258	7.649501e+01
31.454314	-115.562613	7.584136e+01
31.454314	-115.551969	7.516852e+01
31.454314	-115.541325	7.449893e+01
31.454314	-115.530681	7.383699e+01
31.454314	-115.520036	7.318290e+01
31.454314	-115.509392	7.250993e+01
31.454314	-115.498748	7.184004e+01
31.454314	-115.488104	7.117807e+01
31.454314	-115.477460	7.052425e+01
31.454314	-115.466815	6.975562e+01
31.454314	-115.456171	6.896520e+01
31.454314	-115.445527	6.818049e+01
31.454314	-115.434883	6.740168e+01
31.454314	-115.424239	6.662900e+01
31.454314	-115.413594	6.586264e+01
31.454314	-115.402950	6.510284e+01
31.454314	-115.392306	6.434983e+01
31.454314	-115.381662	6.360384e+01
31.454314	-115.371017	6.286513e+01
31.454314	-115.360373	6.213396e+01
31.454314	-115.349729	6.141060e+01
31.454314	-115.339085	6.069532e+01
31.454314	-115.328441	5.998842e+01
31.454314	-115.317796	5.929019e+01
31.454314	-115.307152	5.860095e+01
31.454314	-115.296508	5.792101e+01
31.454314	-115.285864	5.725071e+01
31.454314	-115.275219	5.659039e+01
31.454314	-115.264575	5.594040e+01
31.454314	-115.253931	5.530112e+01
31.454314	-115.243287	5.467290e+01
31.454314	-115.232643	5.405614e+01
31.454314	-115.221998	5.345124e+01
31.454314	-115.211354	5.285860e+01
31.454314	-115.200710	5.227864e+01
31.454314	-115.190066	5.171179e+01
31.454314	-115.179421	5.115848e+01
31.454314	-115.168777	5.061915e+01
31.454314	-115.158133	5.009426e+01
31.454314	-115.147489	4.958427e+01
31.454314	-115.136845	4.908964e+01
31.454314	-115.126200	4.861084e+01
31.454314	-115.115556	4.814834e+01
31.454314	-115.104912	4.770261e+01
31.454314	-115.094268	4.727414e+01
31.454314	-115.083624	4.686339e+01
31.454314	-115.072979	4.647083e+01
